image,WASP ID
22109363.jpg,1SWASPJ000615.77-302241.7_P2
21814020.jpg,1SWASPJ000039.60-191306.0_P8
24462493.jpg,1SWASPJ122800.12-393711.6_P5
24910498.jpg,1SWASPJ005000.56-623808.0_P12
24907325.jpg,1SWASPJ004925.45+110358.2_P10
21814578.jpg,1SWASPJ000115.54+544456.5_P6
24628873.jpg,1SWASPJ003735.76+353414.8_P2
24676099.jpg,1SWASPJ120949.35-322840.9_P4
24655640.jpg,1SWASPJ111151.23-322255.4_P8
24927624.jpg,1SWASPJ005342.68-721712.5_P4
