Subject,CERiT,Simbad,ASAS-SN Photometry
22109363,https://wasp.cerit-sc.cz/search?objid=J000615.77-302241.7&radius=1&radiusUnit=deg&limit=10,http://simbad.u-strasbg.fr/simbad/sim-coo?Coord=00%3A06%3A15.77+-30%3A22%3A41.7&Radius=2&Radius.unit=arcmin&submit=submit+query,https://asas-sn.osu.edu/photometry?ra=00%3A06%3A15.77&dec=-30%3A22%3A41.7&radius=2
21814020,https://wasp.cerit-sc.cz/search?objid=J000039.60-191306.0&radius=1&radiusUnit=deg&limit=10,http://simbad.u-strasbg.fr/simbad/sim-coo?Coord=00%3A00%3A39.60+-19%3A13%3A06.0&Radius=2&Radius.unit=arcmin&submit=submit+query,https://asas-sn.osu.edu/photometry?ra=00%3A00%3A39.60&dec=-19%3A13%3A06.0&radius=2
24462493,No match,No match,No match
24910498,https://wasp.cerit-sc.cz/search?objid=J005000.56-623808.0&radius=1&radiusUnit=deg&limit=10,http://simbad.u-strasbg.fr/simbad/sim-coo?Coord=00%3A50%3A00.56+-62%3A38%3A08.0&Radius=2&Radius.unit=arcmin&submit=submit+query,https://asas-sn.osu.edu/photometry?ra=00%3A50%3A00.56&dec=-62%3A38%3A08.0&radius=2
24907325,https://wasp.cerit-sc.cz/search?objid=J004925.45%2B110358.2&radius=1&radiusUnit=deg&limit=10,http://simbad.u-strasbg.fr/simbad/sim-coo?Coord=00%3A49%3A25.45+%2B11%3A03%3A58.2&Radius=2&Radius.unit=arcmin&submit=submit+query,https://asas-sn.osu.edu/photometry?ra=00%3A49%3A25.45&dec=%2B11%3A03%3A58.2&radius=2
21814578,https://wasp.cerit-sc.cz/search?objid=J000115.54%2B544456.5&radius=1&radiusUnit=deg&limit=10,http://simbad.u-strasbg.fr/simbad/sim-coo?Coord=00%3A01%3A15.54+%2B54%3A44%3A56.5&Radius=2&Radius.unit=arcmin&submit=submit+query,https://asas-sn.osu.edu/photometry?ra=00%3A01%3A15.54&dec=%2B54%3A44%3A56.5&radius=2
24628873,https://wasp.cerit-sc.cz/search?objid=J003735.76%2B353414.8&radius=1&radiusUnit=deg&limit=10,http://simbad.u-strasbg.fr/simbad/sim-coo?Coord=00%3A37%3A35.76+%2B35%3A34%3A14.8&Radius=2&Radius.unit=arcmin&submit=submit+query,https://asas-sn.osu.edu/photometry?ra=00%3A37%3A35.76&dec=%2B35%3A34%3A14.8&radius=2
24676099,No match,No match,No match
24655640,No match,No match,No match
24927624,https://wasp.cerit-sc.cz/search?objid=J005342.68-721712.5&radius=1&radiusUnit=deg&limit=10,http://simbad.u-strasbg.fr/simbad/sim-coo?Coord=00%3A53%3A42.68+-72%3A17%3A12.5&Radius=2&Radius.unit=arcmin&submit=submit+query,https://asas-sn.osu.edu/photometry?ra=00%3A53%3A42.68&dec=-72%3A17%3A12.5&radius=2
24619112,https://wasp.cerit-sc.cz/search?objid=J003310.79%2B415928.5&radius=1&radiusUnit=deg&limit=10,http://simbad.u-strasbg.fr/simbad/sim-coo?Coord=00%3A33%3A10.79+%2B41%3A59%3A28.5&Radius=2&Radius.unit=arcmin&submit=submit+query,https://asas-sn.osu.edu/photometry?ra=00%3A33%3A10.79&dec=%2B41%3A59%3A28.5&radius=2
22111470,https://wasp.cerit-sc.cz/search?objid=J001045.58%2B094303.5&radius=1&radiusUnit=deg&limit=10,http://simbad.u-strasbg.fr/simbad/sim-coo?Coord=00%3A10%3A45.58+%2B09%3A43%3A03.5&Radius=2&Radius.unit=arcmin&submit=submit+query,https://asas-sn.osu.edu/photometry?ra=00%3A10%3A45.58&dec=%2B09%3A43%3A03.5&radius=2
22108134,https://wasp.cerit-sc.cz/search?objid=J000405.10-165951.5&radius=1&radiusUnit=deg&limit=10,http://simbad.u-strasbg.fr/simbad/sim-coo?Coord=00%3A04%3A05.10+-16%3A59%3A51.5&Radius=2&Radius.unit=arcmin&submit=submit+query,https://asas-sn.osu.edu/photometry?ra=00%3A04%3A05.10&dec=-16%3A59%3A51.5&radius=2
24690086,https://wasp.cerit-sc.cz/search?objid=J005659.13%2B163754.2&radius=1&radiusUnit=deg&limit=10,http://simbad.u-strasbg.fr/simbad/sim-coo?Coord=00%3A56%3A59.13+%2B16%3A37%3A54.2&Radius=2&Radius.unit=arcmin&submit=submit+query,https://asas-sn.osu.edu/photometry?ra=00%3A56%3A59.13&dec=%2B16%3A37%3A54.2&radius=2
24706741,https://wasp.cerit-sc.cz/search?objid=J010102.33%2B144658.8&radius=1&radiusUnit=deg&limit=10,http://simbad.u-strasbg.fr/simbad/sim-coo?Coord=01%3A01%3A02.33+%2B14%3A46%3A58.8&Radius=2&Radius.unit=arcmin&submit=submit+query,https://asas-sn.osu.edu/photometry?ra=01%3A01%3A02.33&dec=%2B14%3A46%3A58.8&radius=2
24912477,https://wasp.cerit-sc.cz/search?objid=J005020.35%2B260049.2&radius=1&radiusUnit=deg&limit=10,http://simbad.u-strasbg.fr/simbad/sim-coo?Coord=00%3A50%3A20.35+%2B26%3A00%3A49.2&Radius=2&Radius.unit=arcmin&submit=submit+query,https://asas-sn.osu.edu/photometry?ra=00%3A50%3A20.35&dec=%2B26%3A00%3A49.2&radius=2
22168398,https://wasp.cerit-sc.cz/search?objid=J122258.47%2B071422.3&radius=1&radiusUnit=deg&limit=10,http://simbad.u-strasbg.fr/simbad/sim-coo?Coord=12%3A22%3A58.47+%2B07%3A14%3A22.3&Radius=2&Radius.unit=arcmin&submit=submit+query,https://asas-sn.osu.edu/photometry?ra=12%3A22%3A58.47&dec=%2B07%3A14%3A22.3&radius=2
