classification_id,user_name,user_id,workflow_id,task,created_at,subject_id,extractor,data.aggregation_version,data.this-image-is-too-dark-or-blurry
124464897,not-logged-in-6ba6f943b08117f1c154,,6465,T6,2018-09-21 20:48:17 UTC,20860276,shortcut_extractor,3.4.5,
104359965,tuhin30,1772551.0,6465,T6,2018-04-29 15:38:08 UTC,20860304,shortcut_extractor,3.4.5,
106120364,mleibowitz,1779002.0,6465,T6,2018-05-04 23:26:31 UTC,20860304,shortcut_extractor,3.4.5,
115438410,Booiemonster,1571209.0,6465,T6,2018-06-27 10:08:18 UTC,20860304,shortcut_extractor,3.4.5,
120622774,rmahan,1749163.0,6465,T6,2018-08-16 14:32:33 UTC,20860304,shortcut_extractor,3.4.5,
122709571,sbaugh6,1689882.0,6465,T6,2018-09-06 15:10:01 UTC,20860304,shortcut_extractor,3.4.5,
123408633,not-logged-in-0319b94f208e5d66ab9c,,6465,T6,2018-09-12 12:38:13 UTC,20860304,shortcut_extractor,3.4.5,
123459798,proximadas,1816977.0,6465,T6,2018-09-12 17:58:45 UTC,20860304,shortcut_extractor,3.4.5,
123933530,Gulnara,1802749.0,6465,T6,2018-09-17 05:24:49 UTC,20860304,shortcut_extractor,3.4.5,
124453816,not-logged-in-b375365f5eb1beb63f82,,6465,T6,2018-09-21 19:26:46 UTC,20860304,shortcut_extractor,3.4.5,
124459621,KCSkinner,318330.0,6465,T6,2018-09-21 20:12:13 UTC,20860304,shortcut_extractor,3.4.5,
104138391,Resi,1771871.0,6465,T6,2018-04-28 16:20:34 UTC,20860267,shortcut_extractor,3.4.5,
105797149,cikanekfamily,1770618.0,6465,T6,2018-05-04 00:15:00 UTC,20860267,shortcut_extractor,3.4.5,
107170374,dbeykal,1535652.0,6465,T6,2018-05-11 11:44:57 UTC,20860267,shortcut_extractor,3.4.5,
107958877,Daniello,1782125.0,6465,T6,2018-05-17 02:48:31 UTC,20860267,shortcut_extractor,3.4.5,
108069358,KukeMariano,1784137.0,6465,T6,2018-05-17 19:50:22 UTC,20860267,shortcut_extractor,3.4.5,
111366433,not-logged-in-a157c87143626d0c827e,,6465,T6,2018-05-25 17:03:09 UTC,20860267,shortcut_extractor,3.4.5,
114210809,MariaSC,1728017.0,6465,T6,2018-06-14 06:11:04 UTC,20860267,shortcut_extractor,3.4.5,
115571067,not-logged-in-cfc37b533baaf9ff44bc,,6465,T6,2018-06-28 22:36:21 UTC,20860267,shortcut_extractor,3.4.5,
119580339,dwycherley,96622.0,6465,T6,2018-08-06 23:12:21 UTC,20860267,shortcut_extractor,3.4.5,
123680099,not-logged-in-06f38af759c2cba0477e,,6465,T6,2018-09-14 16:54:54 UTC,20860267,shortcut_extractor,3.4.5,1.0
103544591,spugsley1214,1769073.0,6465,T6,2018-04-25 19:29:07 UTC,20860299,shortcut_extractor,3.4.5,
103610713,pskcraig,1471146.0,6465,T6,2018-04-26 03:55:43 UTC,20860299,shortcut_extractor,3.4.5,
103625291,AjayVee,1629447.0,6465,T6,2018-04-26 07:19:17 UTC,20860299,shortcut_extractor,3.4.5,
103829680,dianapenguinp,1482091.0,6465,T6,2018-04-27 08:52:43 UTC,20860299,shortcut_extractor,3.4.5,
107188482,3sw,1461847.0,6465,T6,2018-05-11 13:47:41 UTC,20860299,shortcut_extractor,3.4.5,
107657301,not-logged-in-03eaaa4ad97998ceeb38,,6465,T6,2018-05-15 06:46:58 UTC,20860299,shortcut_extractor,3.4.5,
111705215,OldWoodchuck,1526941.0,6465,T6,2018-05-28 15:48:08 UTC,20860299,shortcut_extractor,3.4.5,
111967184,hderasmo,1665657.0,6465,T6,2018-05-29 19:23:56 UTC,20860299,shortcut_extractor,3.4.5,
112210024,galarix,1504208.0,6465,T6,2018-05-30 18:04:21 UTC,20860299,shortcut_extractor,3.4.5,
116734039,nicoladecoppi,1803034.0,6465,T6,2018-07-10 14:29:25 UTC,20860299,shortcut_extractor,3.4.5,
103602246,feathasthekitten,1477671.0,6465,T6,2018-04-26 02:05:09 UTC,20860292,shortcut_extractor,3.4.5,
104379553,c196948,47085.0,6465,T6,2018-04-29 17:26:37 UTC,20860292,shortcut_extractor,3.4.5,
105259832,MariaSC,1728017.0,6465,T6,2018-05-02 01:33:15 UTC,20860292,shortcut_extractor,3.4.5,
114808754,not-logged-in-2e4d4e1d3477683d531a,,6465,T6,2018-06-19 18:55:47 UTC,20860292,shortcut_extractor,3.4.5,
116732480,Cosmi10,1801364.0,6465,T6,2018-07-10 14:17:50 UTC,20860292,shortcut_extractor,3.4.5,1.0
118827916,Raven_Ink,1703165.0,6465,T6,2018-07-29 20:36:45 UTC,20860292,shortcut_extractor,3.4.5,
123971483,not-logged-in-4da727824fe23aee9246,,6465,T6,2018-09-17 16:31:24 UTC,20860292,shortcut_extractor,3.4.5,
123991353,not-logged-in-a76c00fa55e9cd207541,,6465,T6,2018-09-17 19:24:21 UTC,20860292,shortcut_extractor,3.4.5,1.0
124274386,LynetteC,1185964.0,6465,T6,2018-09-20 11:32:07 UTC,20860292,shortcut_extractor,3.4.5,
124433285,not-logged-in-d4994b01f38df18c5179,,6465,T6,2018-09-21 17:19:53 UTC,20860292,shortcut_extractor,3.4.5,1.0
124446649,sbaugh6,1689882.0,6465,T6,2018-09-21 18:29:59 UTC,20860292,shortcut_extractor,3.4.5,
103524231,alkymist,1229980.0,6465,T6,2018-04-25 18:16:35 UTC,20860268,shortcut_extractor,3.4.5,
103648252,not-logged-in-9efe7b796ebd619776d1,,6465,T6,2018-04-26 12:27:13 UTC,20860268,shortcut_extractor,3.4.5,
103800287,nahartman,1739337.0,6465,T6,2018-04-27 02:16:14 UTC,20860268,shortcut_extractor,3.4.5,
107145632,not-logged-in-3b22b0441439b32ef28b,,6465,T6,2018-05-11 05:43:57 UTC,20860268,shortcut_extractor,3.4.5,
111414021,Mila_Solobina,1216211.0,6465,T6,2018-05-25 23:39:07 UTC,20860268,shortcut_extractor,3.4.5,
111927457,not-logged-in-cfd52481f00cc8d5bb7f,,6465,T6,2018-05-29 17:26:47 UTC,20860268,shortcut_extractor,3.4.5,
117135009,LMWu1128,1803617.0,6465,T6,2018-07-13 16:21:05 UTC,20860268,shortcut_extractor,3.4.5,
119008203,mark.daniel.quilnet,1806845.0,6465,T6,2018-07-31 14:20:14 UTC,20860268,shortcut_extractor,3.4.5,
119320069,aDanilon,1801354.0,6465,T6,2018-08-03 18:47:57 UTC,20860268,shortcut_extractor,3.4.5,
120147518,Dangeraffe22,1808475.0,6465,T6,2018-08-12 02:07:47 UTC,20860268,shortcut_extractor,3.4.5,
103903057,KSpiller,1722955.0,6465,T6,2018-04-27 18:41:43 UTC,20860278,shortcut_extractor,3.4.5,
104670126,JBlundell,1740941.0,6465,T6,2018-04-30 17:43:54 UTC,20860278,shortcut_extractor,3.4.5,
105169838,sociolingo,167195.0,6465,T6,2018-05-01 20:22:37 UTC,20860278,shortcut_extractor,3.4.5,
106446138,electrichippo,1752643.0,6465,T6,2018-05-06 21:28:01 UTC,20860278,shortcut_extractor,3.4.5,
107155862,helenacatt,1465011.0,6465,T6,2018-05-11 08:23:51 UTC,20860278,shortcut_extractor,3.4.5,
116741445,Tage,1803032.0,6465,T6,2018-07-10 15:21:31 UTC,20860278,shortcut_extractor,3.4.5,
118088275,Kennr17,1805261.0,6465,T6,2018-07-22 15:15:39 UTC,20860278,shortcut_extractor,3.4.5,
118114528,triciaharris28,1802495.0,6465,T6,2018-07-22 20:27:01 UTC,20860278,shortcut_extractor,3.4.5,
119105072,AKS59,1708483.0,6465,T6,2018-08-01 17:10:03 UTC,20860278,shortcut_extractor,3.4.5,
119184226,not-logged-in-5ca2caedc82c2fe0e3bd,,6465,T6,2018-08-02 14:30:51 UTC,20860278,shortcut_extractor,3.4.5,
103494688,meeklund,1620748.0,6465,T6,2018-04-25 16:16:48 UTC,20860282,shortcut_extractor,3.4.5,
103665687,not-logged-in-f24028c881f0f7445221,,6465,T6,2018-04-26 14:35:15 UTC,20860282,shortcut_extractor,3.4.5,
103710836,2se0k,1648447.0,6465,T6,2018-04-26 17:42:30 UTC,20860282,shortcut_extractor,3.4.5,
106605026,cassandra_pignataro,1777446.0,6465,T6,2018-05-07 20:15:52 UTC,20860282,shortcut_extractor,3.4.5,
108066684,martin.a.goya,1784154.0,6465,T6,2018-05-17 19:33:48 UTC,20860282,shortcut_extractor,3.4.5,
115899144,not-logged-in-9a3be2a03e8c96508e58,,6465,T6,2018-07-02 21:56:43 UTC,20860282,shortcut_extractor,3.4.5,
116736119,Cosmi10,1801364.0,6465,T6,2018-07-10 14:44:18 UTC,20860282,shortcut_extractor,3.4.5,
118865485,kiran.garugu,1805355.0,6465,T6,2018-07-30 06:55:03 UTC,20860282,shortcut_extractor,3.4.5,
119666303,not-logged-in-1a8e8f7ad01258b70060,,6465,T6,2018-08-07 21:25:17 UTC,20860282,shortcut_extractor,3.4.5,
119772643,sbaugh6,1689882.0,6465,T6,2018-08-08 22:19:28 UTC,20860282,shortcut_extractor,3.4.5,
103604869,pskcraig,1471146.0,6465,T6,2018-04-26 02:37:51 UTC,20860277,shortcut_extractor,3.4.5,
103851900,not-logged-in-0f05c4647072873256ef,,6465,T6,2018-04-27 13:07:49 UTC,20860277,shortcut_extractor,3.4.5,
104012965,briallen,1775431.0,6465,T6,2018-04-28 01:28:35 UTC,20860277,shortcut_extractor,3.4.5,
104197211,not-logged-in-1c030bffe6adcfbe7db9,,6465,T6,2018-04-28 20:56:16 UTC,20860277,shortcut_extractor,3.4.5,
105994204,ZackM,1778606.0,6465,T6,2018-05-04 16:23:52 UTC,20860277,shortcut_extractor,3.4.5,
107440843,JBlundell,1740941.0,6465,T6,2018-05-13 15:47:20 UTC,20860277,shortcut_extractor,3.4.5,
108466951,Carecrow,1778887.0,6465,T6,2018-05-21 00:51:29 UTC,20860277,shortcut_extractor,3.4.5,
113579163,Bear97,1796970.0,6465,T6,2018-06-08 13:47:11 UTC,20860277,shortcut_extractor,3.4.5,
113730286,Hussainj,1795081.0,6465,T6,2018-06-09 17:36:31 UTC,20860277,shortcut_extractor,3.4.5,
119934474,jujebot,1800356.0,6465,T6,2018-08-10 04:50:33 UTC,20860277,shortcut_extractor,3.4.5,
103558547,not-logged-in-53b75dd2a51c755fb5df,,6465,T6,2018-04-25 20:36:00 UTC,20860287,shortcut_extractor,3.4.5,
103635072,pingin,320417.0,6465,T6,2018-04-26 10:06:47 UTC,20860287,shortcut_extractor,3.4.5,
103649279,dianapenguinp,1482091.0,6465,T6,2018-04-26 12:39:22 UTC,20860287,shortcut_extractor,3.4.5,
104230938,mrcrow,1467348.0,6465,T6,2018-04-28 23:15:55 UTC,20860287,shortcut_extractor,3.4.5,
119691016,jujebot,1800356.0,6465,T6,2018-08-08 04:33:04 UTC,20860287,shortcut_extractor,3.4.5,
119743500,sbaugh6,1689882.0,6465,T6,2018-08-08 18:18:15 UTC,20860287,shortcut_extractor,3.4.5,
120693958,not-logged-in-5108f470458e321b6978,,6465,T6,2018-08-17 04:01:41 UTC,20860287,shortcut_extractor,3.4.5,
121193998,Sissy69,1810753.0,6465,T6,2018-08-22 11:53:53 UTC,20860287,shortcut_extractor,3.4.5,
123116920,Janet.White,1703838.0,6465,T6,2018-09-09 21:23:12 UTC,20860287,shortcut_extractor,3.4.5,
124374043,Gulnara,1802749.0,6465,T6,2018-09-21 06:59:24 UTC,20860287,shortcut_extractor,3.4.5,
103640944,sfujita180,1737934.0,6465,T6,2018-04-26 11:10:37 UTC,20860307,shortcut_extractor,3.4.5,
104170465,astavoe,1733009.0,6465,T6,2018-04-28 19:07:28 UTC,20860307,shortcut_extractor,3.4.5,
108182473,Whardy1,721962.0,6465,T6,2018-05-18 15:52:51 UTC,20860307,shortcut_extractor,3.4.5,
108411686,not-logged-in-43298fca81cb8e305602,,6465,T6,2018-05-20 15:44:14 UTC,20860307,shortcut_extractor,3.4.5,
108573805,not-logged-in-3c3d5a05f8cec6861a28,,6465,T6,2018-05-21 17:50:51 UTC,20860307,shortcut_extractor,3.4.5,
111935474,not-logged-in-cfd52481f00cc8d5bb7f,,6465,T6,2018-05-29 17:47:44 UTC,20860307,shortcut_extractor,3.4.5,
114148142,not-logged-in-e468e675cc2a7855708c,,6465,T6,2018-06-13 16:53:53 UTC,20860307,shortcut_extractor,3.4.5,
115447673,not-logged-in-600a5ee5d6645bc62fe2,,6465,T6,2018-06-27 13:15:13 UTC,20860307,shortcut_extractor,3.4.5,
121736602,sbaugh6,1689882.0,6465,T6,2018-08-27 19:41:57 UTC,20860307,shortcut_extractor,3.4.5,
122161600,not-logged-in-fd71dea238666dda5797,,6465,T6,2018-08-31 18:47:36 UTC,20860307,shortcut_extractor,3.4.5,
103518149,tmaze,1468704.0,6465,T6,2018-04-25 17:59:32 UTC,20860300,shortcut_extractor,3.4.5,
103547660,HaileyMeckenzie,1770144.0,6465,T6,2018-04-25 19:41:56 UTC,20860300,shortcut_extractor,3.4.5,
106075756,not-logged-in-c088024f09bcab774191,,6465,T6,2018-05-04 20:23:17 UTC,20860300,shortcut_extractor,3.4.5,
110757440,wdubinsky,1540476.0,6465,T6,2018-05-23 15:38:31 UTC,20860300,shortcut_extractor,3.4.5,
119771894,sbaugh6,1689882.0,6465,T6,2018-08-08 22:07:56 UTC,20860300,shortcut_extractor,3.4.5,
123273253,AKS59,1708483.0,6465,T6,2018-09-11 07:21:13 UTC,20860300,shortcut_extractor,3.4.5,
123972139,not-logged-in-4da727824fe23aee9246,,6465,T6,2018-09-17 16:35:18 UTC,20860300,shortcut_extractor,3.4.5,
124212292,not-logged-in-c0cfaea10a7d6dd4196f,,6465,T6,2018-09-19 18:21:10 UTC,20860300,shortcut_extractor,3.4.5,
124494391,coldcounter,1239421.0,6465,T6,2018-09-22 02:24:09 UTC,20860300,shortcut_extractor,3.4.5,
124510556,Joszy,1440976.0,6465,T6,2018-09-22 10:33:33 UTC,20860300,shortcut_extractor,3.4.5,
103544493,isaaragon,1769055.0,6465,T6,2018-04-25 19:28:40 UTC,20860274,shortcut_extractor,3.4.5,
103602041,not-logged-in-12a87f95502da2bdaf54,,6465,T6,2018-04-26 02:03:13 UTC,20860274,shortcut_extractor,3.4.5,
103606698,rpilkiew,314803.0,6465,T6,2018-04-26 03:01:28 UTC,20860274,shortcut_extractor,3.4.5,
105908175,not-logged-in-50e17ae620fcee2d64e5,,6465,T6,2018-05-04 11:59:26 UTC,20860274,shortcut_extractor,3.4.5,
108317342,lillianp,1784723.0,6465,T6,2018-05-19 17:54:42 UTC,20860274,shortcut_extractor,3.4.5,
112754818,Janet.White,1703838.0,6465,T6,2018-06-02 16:59:42 UTC,20860274,shortcut_extractor,3.4.5,
121742257,HampusMAR,1812317.0,6465,T6,2018-08-27 20:27:30 UTC,20860274,shortcut_extractor,3.4.5,
122871114,FigTwig,1370138.0,6465,T6,2018-09-07 18:17:25 UTC,20860274,shortcut_extractor,3.4.5,
123757616,AKS59,1708483.0,6465,T6,2018-09-15 08:35:13 UTC,20860274,shortcut_extractor,3.4.5,
123870770,MaraRaisanen,1772149.0,6465,T6,2018-09-16 16:15:56 UTC,20860274,shortcut_extractor,3.4.5,
103587189,dmilorad,1554564.0,6465,T6,2018-04-26 00:18:28 UTC,20860288,shortcut_extractor,3.4.5,
103616664,shuuji_nemo,1733567.0,6465,T6,2018-04-26 04:50:48 UTC,20860288,shortcut_extractor,3.4.5,
104014616,xfr,1775007.0,6465,T6,2018-04-28 01:35:41 UTC,20860288,shortcut_extractor,3.4.5,
107867673,not-logged-in-195acb9b5ddcad9fbc2b,,6465,T6,2018-05-16 16:36:34 UTC,20860288,shortcut_extractor,3.4.5,
113774786,lauradell,1479943.0,6465,T6,2018-06-10 03:38:08 UTC,20860288,shortcut_extractor,3.4.5,
117846424,not-logged-in-1cbfbc26df5fcaa8a341,,6465,T6,2018-07-20 08:29:47 UTC,20860288,shortcut_extractor,3.4.5,
119373560,Limerr,1801855.0,6465,T6,2018-08-04 11:38:09 UTC,20860288,shortcut_extractor,3.4.5,
121848471,CeliaTesseur,1468205.0,6465,T6,2018-08-28 20:23:29 UTC,20860288,shortcut_extractor,3.4.5,
122708972,sbaugh6,1689882.0,6465,T6,2018-09-06 15:05:22 UTC,20860288,shortcut_extractor,3.4.5,
123799882,Hobby2016,1483083.0,6465,T6,2018-09-15 20:17:36 UTC,20860288,shortcut_extractor,3.4.5,
105280162,21sicm,1623918.0,6465,T6,2018-05-02 02:48:55 UTC,20860281,shortcut_extractor,3.4.5,
107355345,JBlundell,1740941.0,6465,T6,2018-05-12 19:06:45 UTC,20860281,shortcut_extractor,3.4.5,
116139362,gbeteta,1801531.0,6465,T6,2018-07-04 22:47:15 UTC,20860281,shortcut_extractor,3.4.5,
116278682,not-logged-in-e6845b890479ed186915,,6465,T6,2018-07-06 12:07:21 UTC,20860281,shortcut_extractor,3.4.5,
118113345,triciaharris28,1802495.0,6465,T6,2018-07-22 20:14:13 UTC,20860281,shortcut_extractor,3.4.5,
119195553,sfharper,3380.0,6465,T6,2018-08-02 16:04:16 UTC,20860281,shortcut_extractor,3.4.5,
121740268,HampusMAR,1812317.0,6465,T6,2018-08-27 20:07:14 UTC,20860281,shortcut_extractor,3.4.5,
121851553,CeliaTesseur,1468205.0,6465,T6,2018-08-28 20:46:21 UTC,20860281,shortcut_extractor,3.4.5,
123315974,not-logged-in-7685937415b385a3c223,,6465,T6,2018-09-11 16:13:15 UTC,20860281,shortcut_extractor,3.4.5,
123624059,sharonmorales,1817564.0,6465,T6,2018-09-14 04:02:30 UTC,20860281,shortcut_extractor,3.4.5,
103640498,sfujita180,1737934.0,6465,T6,2018-04-26 11:05:33 UTC,20860310,shortcut_extractor,3.4.5,
103800180,nahartman,1739337.0,6465,T6,2018-04-27 02:15:22 UTC,20860310,shortcut_extractor,3.4.5,
104012024,xfr,1775007.0,6465,T6,2018-04-28 01:24:14 UTC,20860310,shortcut_extractor,3.4.5,
104650747,CamFlowers,1756061.0,6465,T6,2018-04-30 17:15:40 UTC,20860310,shortcut_extractor,3.4.5,
108068321,MatiasIglesias,1784159.0,6465,T6,2018-05-17 19:44:20 UTC,20860310,shortcut_extractor,3.4.5,
112180679,galarix,1504208.0,6465,T6,2018-05-30 15:45:07 UTC,20860310,shortcut_extractor,3.4.5,
113073344,ellianderjoy,1658400.0,6465,T6,2018-06-05 00:32:33 UTC,20860310,shortcut_extractor,3.4.5,
114222719,annalisenoble,1607946.0,6465,T6,2018-06-14 09:48:06 UTC,20860310,shortcut_extractor,3.4.5,
