image,WASP ID
24619112.jpg,1SWASPJ003310.79+415928.5_P13
22111470.jpg,1SWASPJ001045.58+094303.5_P2
22108134.jpg,1SWASPJ000405.10-165951.5_P4
24690086.jpg,1SWASPJ005659.13+163754.2_P9
24706741.jpg,1SWASPJ010102.33+144658.8_P1
24912477.jpg,1SWASPJ005020.35+260049.2_P2
22168398.jpg,1SWASPJ122258.47+071422.3_P10
22067726.jpg,1SWASPJ180221.37+264645.9_P2
24373465.jpg,1SWASPJ102155.21-034426.3_P7
24994438.jpg,1SWASPJ135733.28+344447.5_P4
